# AGH 过滤明细日志 - 2026-02-26 23:24:02
================================================================================
[白名单] @@||ui.ads.microsoft.com^                     # 父域覆盖: ads.microsoft.com
[黑名单] ||apps.livejasmin.com^                        # 父域覆盖: livejasmin.com
[黑名单] ||apv-launcher.minute.ly^                     # 父域覆盖: minute.ly
[黑名单] ||arboe.oewabox.at^                           # 父域覆盖: oewabox.at
[黑名单] ||archsmarter.usesfathom.com^                 # 父域覆盖: usesfathom.com
[黑名单] ||as.sexad.net^                               # 父域覆盖: sexad.net
[黑名单] ||aschreib.oewabox.at^                        # 父域覆盖: oewabox.at
[黑名单] ||ascout24.oewabox.at^                        # 父域覆盖: oewabox.at
[黑名单] ||assets.publicgood.com^                      # 父域覆盖: publicgood.com
[黑名单] ||astg.widerplanet.com^                       # 父域覆盖: widerplanet.com
[黑名单] ||atvplus.oewabox.at^                         # 父域覆盖: oewabox.at
[黑名单] ||audi4e.oewabox.at^                          # 父域覆盖: oewabox.at
[黑名单] ||austria.oewabox.at^                         # 父域覆盖: oewabox.at
[黑名单] ||auth.livejasmin.com^                        # 父域覆盖: livejasmin.com
[黑名单] ||autodiscover.livejasmin.com^                # 父域覆盖: livejasmin.com
[黑名单] ||automobi.oewabox.at^                        # 父域覆盖: oewabox.at
[黑名单] ||automoto.oewabox.at^                        # 父域覆盖: oewabox.at
[黑名单] ||avasgtest.branch.rocks^                     # 父域覆盖: branch.rocks
[黑名单] ||avs.adpinfo.com^                            # 父域覆盖: adpinfo.com
[黑名单] ||avworld.activehosted.com^                   # 父域覆盖: activehosted.com
[黑名单] ||aws-api.sail-personalize.com^               # 父域覆盖: sail-personalize.com
[黑名单] ||b-gtc.getui.net^                            # 父域覆盖: getui.net
[黑名单] ||b.filexan.com^                              # 父域覆盖: filexan.com
[黑名单] ||b.grabo.bg^                                 # 父域覆盖: grabo.bg
[黑名单] ||b.trueanthem.com^                           # 父域覆盖: trueanthem.com
[黑名单] ||b1.hentaibaka.one^                          # 父域覆盖: hentaibaka.one
[黑名单] ||babyf.oewabox.at^                           # 父域覆盖: oewabox.at
[黑名单] ||backend-ssp.adstudio.cloud^                 # 父域覆盖: adstudio.cloud
[黑名单] ||banks.adpinfo.com^                          # 父域覆盖: adpinfo.com
[黑名单] ||bannerhost.egamingonline.com^               # 父域覆盖: egamingonline.com
[黑名单] ||banners.asiafriendfinder.com^               # 父域覆盖: asiafriendfinder.com
[黑名单] ||banners.direction-x.com^                    # 父域覆盖: direction-x.com
[黑名单] ||banners.getiton.com^                        # 父域覆盖: getiton.com
[黑名单] ||banners.idolbucks.com^                      # 父域覆盖: idolbucks.com
[黑名单] ||banners.virtuagirlhd.com^                   # 父域覆盖: virtuagirlhd.com
[黑名单] ||banners3.spacash.com^                       # 父域覆盖: spacash.com
[黑名单] ||bazar.oewabox.at^                           # 父域覆盖: oewabox.at
[黑名单] ||bd-js.duote.com^                            # 父域覆盖: duote.com
[黑名单] ||bd-js1.2345.com^                            # 父域覆盖: 2345.com
[黑名单] ||bd-retrieval1.2345.com^                     # 父域覆盖: 2345.com
[黑名单] ||bd1.qcjslm.com^                             # 父域覆盖: qcjslm.com
[黑名单] ||bd1.yidu.cc^                                # 父域覆盖: yidu.cc
[黑名单] ||bdb.oewabox.at^                             # 父域覆盖: oewabox.at
[黑名单] ||bdcode.2345.com^                            # 父域覆盖: 2345.com
[黑名单] ||bdtestsendpulse.branch.rocks^               # 父域覆盖: branch.rocks
[黑名单] ||beacon-1.newrelic.com^                      # 父域覆盖: newrelic.com
[黑名单] ||beacon-3.newrelic.com^                      # 父域覆盖: newrelic.com
[黑名单] ||beacon.mlytics.com^                         # 父域覆盖: mlytics.com
[黑名单] ||beacon.sojern.com^                          # 父域覆盖: sojern.com
[黑名单] ||beacon.tingyun.com^                         # 父域覆盖: tingyun.com
[黑名单] ||beta.easy-hit-counters.com^                 # 父域覆盖: easy-hit-counters.com
[黑名单] ||beta.easyhitcounters.com^                   # 父域覆盖: easyhitcounters.com
[黑名单] ||beta.kaprila.com^                           # 父域覆盖: kaprila.com
[黑名单] ||bgtfr-test.mno.link^                        # 父域覆盖: mno.link
[黑名单] ||bidder.doceree.com^                         # 父域覆盖: doceree.com
[黑名单] ||bigbangads.go2cloud.org^                    # 父域覆盖: go2cloud.org
[黑名单] ||biscotti.yektanet.com^                      # 父域覆盖: yektanet.com
[黑名单] ||bl.emotionalworld.cn^                       # 父域覆盖: emotionalworld.cn
[黑名单] ||bliga.oewabox.at^                           # 父域覆盖: oewabox.at
[黑名单] ||bls.adalliance.io^                          # 父域覆盖: adalliance.io
[黑名单] ||bluecore-email.branch.rocks^                # 父域覆盖: branch.rocks
[黑名单] ||bm.alimama.cn^                              # 父域覆盖: alimama.cn
[黑名单] ||bmf.branch.rocks^                           # 父域覆盖: branch.rocks
[黑名单] ||bmvip.alimama.cn^                           # 父域覆盖: alimama.cn
[黑名单] ||bob-a1at.mno.link^                          # 父域覆盖: mno.link
[黑名单] ||br.adpinfo.com^                             # 父域覆盖: adpinfo.com
[黑名单] ||broker.datazoom.io^                         # 父域覆盖: datazoom.io
[黑名单] ||bu.adpinfo.com^                             # 父域覆盖: adpinfo.com
[黑名单] ||buschen.oewabox.at^                         # 父域覆盖: oewabox.at
[黑名单] ||butshesagirl.usesfathom.com^                # 父域覆盖: usesfathom.com
[黑名单] ||bvoffers-elb.go2cloud.org^                  # 父域覆盖: go2cloud.org
[黑名单] ||c-gtc.getui.net^                            # 父域覆盖: getui.net
[黑名单] ||c.bigmir.net^                               # 父域覆盖: bigmir.net
[黑名单] ||c.dynad.net^                                # 父域覆盖: dynad.net
[黑名单] ||c.lomadee.com^                              # 父域覆盖: lomadee.com
[黑名单] ||c.plerdy.com^                               # 父域覆盖: plerdy.com
[黑名单] ||c.tbex.ru^                                  # 父域覆盖: tbex.ru
[黑名单] ||cam2cam.xlovecam.com^                       # 父域覆盖: xlovecam.com
[黑名单] ||capture.norm0care.com^                      # 父域覆盖: norm0care.com
[黑名单] ||car4you.oewabox.at^                         # 父域覆盖: oewabox.at
[黑名单] ||cards.virtuagirlhd.com^                     # 父域覆盖: virtuagirlhd.com
[黑名单] ||carrick-ui.advoncommerce.com^               # 父域覆盖: advoncommerce.com
[黑名单] ||casmp.adperfect.com^                        # 父域覆盖: adperfect.com
[黑名单] ||cb.alimama.cn^                              # 父域覆盖: alimama.cn
[黑名单] ||cbanners.virtuagirlhd.com^                  # 父域覆盖: virtuagirlhd.com
[黑名单] ||ccs.livejasmin.com^                         # 父域覆盖: livejasmin.com
[黑名单] ||cdn-adn-*.rayjump.com^                      # 父域覆盖: rayjump.com
[黑名单] ||cdn-api.admost.com^                         # 父域覆盖: admost.com
[黑名单] ||cdn-b.notsy.io^                             # 父域覆盖: notsy.io
[黑名单] ||cdn-jp.gsecondscreen.com^                   # 父域覆盖: gsecondscreen.com
[黑名单] ||cdn-v3.conductrics.net^                     # 父域覆盖: conductrics.net
[黑名单] ||cdn.9823df.com^                             # 父域覆盖: 9823df.com
[黑名单] ||cdn.adviad.com^                             # 父域覆盖: adviad.com
[黑名单] ||cdn.amplitude.com^                          # 父域覆盖: amplitude.com
[黑名单] ||cdn.braun634.com^                           # 父域覆盖: braun634.com
[黑名单] ||cdn.decibelinsight.net^                     # 父域覆盖: decibelinsight.net
